Date,Value
2016-06-30,1.0
2016-05-31,14.0
2016-04-30,13.0
2016-03-31,21.0
2016-02-29,6.0
2016-01-31,12.0
2015-12-31,19.0
2015-11-30,14.0
2015-10-31,9.0
2015-09-30,17.0
2015-08-31,7.0
2015-07-31,26.0
2015-06-30,27.0
2015-05-31,19.0
2015-04-30,24.0
2015-03-31,19.0
2015-02-28,11.0
2015-01-31,4.0
2014-12-31,13.0
2014-11-30,14.0
2014-10-31,24.0
2014-09-30,16.0
2014-08-31,24.0
2014-07-31,13.0
2014-06-30,8.0
2014-05-31,22.0
2014-04-30,17.0
2014-03-31,21.0
2014-02-28,13.0
2014-01-31,19.0
2013-12-31,11.0
2013-11-30,17.0
2013-10-31,27.0
2013-09-30,19.0
2013-08-31,30.0
2013-07-31,35.0
2013-06-30,25.0
2013-05-31,29.0
2013-04-30,17.0
2013-03-31,16.0
2013-02-28,17.0
2013-01-31,14.0
2012-12-31,27.0
2012-11-30,16.0
2012-10-31,26.0
2012-09-30,19.0
2012-08-31,33.0
2012-07-31,13.0
2012-06-30,19.0
2012-05-31,24.0
2012-04-30,14.0
2012-03-31,13.0
2012-02-29,15.0
2012-01-31,9.0
2011-12-31,27.0
2011-11-30,17.0
2011-10-31,22.0
2011-09-30,16.0
2011-08-31,21.0
2011-07-31,18.0
2011-06-30,18.0
2011-05-31,30.0
2011-04-30,21.0
2011-03-31,25.0
2011-02-28,17.0
2011-01-31,19.0
2010-12-31,27.0
2010-11-30,21.0
2010-10-31,14.0
2010-09-30,12.0
2010-08-31,29.0
2010-07-31,23.0
2010-06-30,40.0
2010-05-31,21.0
2010-04-30,21.0
2010-03-31,26.0
2010-02-28,10.0
2010-01-31,9.0
2009-12-31,28.0
2009-11-30,26.0
2009-10-31,33.0
2009-09-30,30.0
2009-08-31,37.0
2009-07-31,28.0
2009-06-30,31.0
2009-05-31,24.0
2009-04-30,23.0
2009-03-31,16.0
2009-02-28,22.0
2009-01-31,27.0
2008-12-31,12.0
2008-11-30,16.0
2008-10-31,29.0
2008-09-30,26.0
2008-08-31,33.0
2008-07-31,40.0
2008-06-30,39.0
